"Date","Price","Open","High","Low","Vol.","Change"
"Jun 29, 2017","2,558.4","2,577.7","2,605.9","2,526.5","75.32K","-0.75"
"Jun 28, 2017","2,577.7","2,583.8","2,616.9","2,490.1","110.42K","-0.23"
"Jun 27, 2017","2,583.8","2,446.1","2,585.1","2,309.6","159.26K","5.63"
"Jun 26, 2017","2,446.1","2,541.6","2,584.8","2,327.3","165.83K","-3.76"
"Jun 25, 2017","2,541.6","2,590.1","2,660.7","2,472.4","86.97K","-1.87"
"Jun 24, 2017","2,590.1","2,710.4","2,741.6","2,540.4","86.96K","-4.44"
"Jun 23, 2017","2,710.4","2,722.8","2,759.7","2,699.5","56.94K","-0.46"
"Jun 22, 2017","2,722.8","2,677.6","2,757.3","2,623.2","78.30K","1.69"
"Jun 21, 2017","2,677.6","2,754.4","2,804.4","2,624.4","116.03K","-2.79"
"Jun 20, 2017","2,754.4","2,616.8","2,800.5","2,614.0","111.30K","5.26"
"Jun 19, 2017","2,616.8","2,539.6","2,617.8","2,518.8","81.83K","3.04"
"Jun 18, 2017","2,539.6","2,655.1","2,676.0","2,488.6","92.00K","-4.35"
"Jun 17, 2017","2,655.1","2,508.6","2,690.7","2,454.8","95.95K","5.84"
"Jun 16, 2017","2,508.6","2,442.5","2,536.4","2,335.3","117.21K","2.71"
"Jun 15, 2017","2,442.5","2,467.3","2,521.6","2,125.6","262.79K","-1.01"
"Jun 14, 2017","2,467.3","2,713.0","2,803.7","2,349.0","174.19K","-9.06"
"Jun 13, 2017","2,713.0","2,656.8","2,784.8","2,647.4","116.74K","2.12"
"Jun 12, 2017","2,656.8","2,973.4","2,985.1","2,483.6","217.96K","-10.65"
"Jun 11, 2017","2,973.4","2,900.3","2,977.9","2,867.3","83.03K","2.52"
"Jun 10, 2017","2,900.3","2,811.4","2,914.2","2,807.4","86.52K","3.16"
"Jun 09, 2017","2,811.4","2,798.8","2,852.1","2,786.1","67.05K","0.45"
"Jun 08, 2017","2,798.8","2,691.5","2,808.4","2,623.6","95.42K","3.99"
"Jun 07, 2017","2,691.5","2,870.5","2,880.9","2,626.6","122.68K","-6.24"
"Jun 06, 2017","2,870.5","2,705.0","2,931.2","2,699.7","192.23K","6.12"
"Jun 05, 2017","2,705.0","2,524.1","2,705.4","2,523.9","86.69K","7.17"
"Jun 04, 2017","2,524.1","2,545.4","2,559.8","2,478.2","59.48K","-0.84"
"Jun 03, 2017","2,545.4","2,492.6","2,582.8","2,449.9","70.96K","2.12"
"Jun 02, 2017","2,492.6","2,412.6","2,494.0","2,385.6","83.03K","3.31"
"Jun 01, 2017","2,412.6","2,303.3","2,460.8","2,303.3","122.70K","4.75"
"May 31, 2017","2,303.3","2,192.6","2,330.6","2,168.4","117.75K","5.05"
"May 30, 2017","2,192.6","2,278.2","2,329.3","2,147.1","120.96K","-3.76"
"May 29, 2017","2,278.2","2,189.0","2,337.4","2,117.3","92.24K","4.07"
"May 28, 2017","2,189.0","2,052.4","2,300.5","2,051.1","125.00K","6.66"
"May 27, 2017","2,052.4","2,244.9","2,322.4","1,868.6","222.95K","-8.57"
"May 26, 2017","2,244.9","2,307.0","2,616.5","2,051.4","191.49K","-2.70"
"May 25, 2017","2,307.2","2,445.3","2,781.8","2,210.5","248.44K","-5.65"
"May 24, 2017","2,445.3","2,272.6","2,497.0","2,263.3","149.26K","7.60"
"May 23, 2017","2,272.6","2,124.4","2,286.3","2,110.8","114.18K","6.97"
"May 22, 2017","2,124.4","2,044.2","2,264.8","1,998.6","174.38K","3.92"
"May 21, 2017","2,044.2","2,040.2","2,094.9","1,980.1","78.78K","0.20"
"May 20, 2017","2,040.2","1,962.0","2,048.4","1,944.4","89.86K","3.98"
"May 19, 2017","1,962.0","1,881.0","1,969.7","1,875.3","98.76K","4.31"
"May 18, 2017","1,881.0","1,801.3","1,980.5","1,791.1","73.10K","4.42"
"May 17, 2017","1,801.3","1,729.3","1,842.8","1,704.0","94.62K","4.16"
"May 16, 2017","1,729.3","1,708.9","1,752.6","1,653.7","75.54K","1.19"
"May 15, 2017","1,708.9","1,772.6","1,776.7","1,656.8","80.24K","-3.59"
"May 14, 2017","1,772.6","1,763.7","1,802.8","1,736.1","40.64K","0.50"
"May 13, 2017","1,763.7","1,686.4","1,770.5","1,594.6","75.47K","4.59"
"May 12, 2017","1,686.4","1,819.3","1,822.5","1,641.2","109.34K","-7.31"
"May 11, 2017","1,819.3","1,752.3","1,864.8","1,741.5","109.01K","3.82"
"May 10, 2017","1,752.3","1,697.5","1,766.2","1,665.0","89.68K","3.23"
"May 09, 2017","1,697.5","1,664.5","1,757.4","1,620.0","127.23K","1.98"
"May 08, 2017","1,664.5","1,554.4","1,667.7","1,552.9","107.23K","7.08"
"May 07, 2017","1,554.4","1,545.3","1,572.9","1,495.2","71.36K","0.59"
"May 06, 2017","1,545.3","1,507.8","1,560.4","1,503.9","59.60K","2.49"
"May 05, 2017","1,507.8","1,516.8","1,588.1","1,485.0","120.38K","-0.59"
"May 04, 2017","1,516.8","1,485.6","1,609.8","1,437.1","136.71K","2.10"
"May 03, 2017","1,485.6","1,445.9","1,496.4","1,424.1","81.72K","2.74"
"May 02, 2017","1,445.9","1,415.8","1,471.1","1,394.8","70.01K","2.13"
"May 01, 2017","1,415.8","1,351.9","1,448.7","1,342.8","100.44K","4.73"
"Apr 30, 2017","1,351.9","1,336.3","1,358.9","1,309.7","40.64K","1.17"
"Apr 29, 2017","1,336.3","1,329.6","1,343.7","1,314.2","40.97K","0.50"
"Apr 28, 2017","1,329.6","1,332.9","1,356.2","1,287.6","77.57K","-0.25"
"Apr 27, 2017","1,332.9","1,286.6","1,346.8","1,285.3","61.77K","3.60"
"Apr 26, 2017","1,286.6","1,264.3","1,309.2","1,263.0","58.91K","1.77"
"Apr 25, 2017","1,264.3","1,248.2","1,272.6","1,244.2","43.89K","1.29"
"Apr 24, 2017","1,248.2","1,249.1","1,256.4","1,234.9","38.54K","-0.08"
"Apr 23, 2017","1,249.1","1,240.9","1,256.2","1,223.1","42.61K","0.66"
"Apr 22, 2017","1,240.9","1,249.6","1,257.0","1,215.8","43.82K","-0.70"
"Apr 21, 2017","1,249.6","1,238.1","1,257.0","1,235.6","41.34K","0.93"
"Apr 20, 2017","1,238.1","1,215.2","1,246.6","1,210.7","55.20K","1.88"
"Apr 19, 2017","1,215.2","1,206.1","1,218.2","1,194.1","43.35K","0.76"
"Apr 18, 2017","1,206.1","1,194.0","1,213.9","1,191.1","52.75K","1.01"
"Apr 17, 2017","1,194.0","1,176.8","1,203.0","1,172.8","46.48K","1.46"
"Apr 16, 2017","1,176.8","1,177.0","1,188.0","1,166.7","18.93K","-0.02"
"Apr 15, 2017","1,177.0","1,177.3","1,194.8","841.5","28.39K","-0.03"
